Accession	Description	Pfam.IDs	Entrez.Gene.ID	Gene.Symbol	Chromosome
NP_061322.2	matrin-3 isoform a [Homo sapiens]	Pf00076, Pf13893, Pf14259	9782	MATR3	5
AAD09746.1	ZIS1 [Homo sapiens]	Pf00641	9406	ZRANB2	1
EAW92758.1	hypothetical protein FLJ90013, isoform CRA_c [Homo sapiens]	Pf05346	202018	TAPT1	4
NP_004200.2	synaptogyrin-3 [Homo sapiens]	Pf01284	9143	SYNGR3	16
5NGU_A	Chain A, Human Erk2 With An Erk1/2 Inhibitor				
XP_006717252.1	endophilin-B2 isoform X2 [Homo sapiens]	Pf03114, Pf14604	56904	SH3GLB2	9
BAA11338.1	proteasome subunit p42 [Homo sapiens]	Pf00004, Pf00910, Pf01078, Pf05496, Pf07724, Pf07726, Pf07728, Pf13191, Pf13207, Pf13401	5706	PSMC6	14
NP_004580.1	protein SCO1 homolog, mitochondrial [Homo sapiens]	Pf00578, Pf02630, Pf13905	6341	SCO1	17
NP_001295155.1	40S ribosomal protein S15 isoform 1 [Homo sapiens]	Pf00203	6209	RPS15	19
CAB38060.1	6.2 kd protein [Homo sapiens]	Pf08038	54543	TOMM7	7
NP_005958.1	NGFI-A-binding protein 2 isoform 1 [Homo sapiens]	Pf04904, Pf04905	4665	NAB2	12
XP_005273855.1	angiomotin-like protein 1 isoform X1 [Homo sapiens]	Pf12240, Pf13949	154810	AMOTL1	11
BAD92636.1	glycerol-3-phosphate dehydrogenase 2 (mitochondrial) variant, partial [Homo sapiens]	Pf00036, Pf00890, Pf01266, Pf03486, Pf07992, Pf12831, Pf13499	2820	GPD2	2
2VCY_A	Chain A, Crystal Structure Of 2-Enoyl Thioester Reductase Of Human Fas Ii				
EAW82279.1	lymphocyte antigen 6 complex, locus H, isoform CRA_c [Homo sapiens]	Pf00021	4062	LY6H	8
AAH03160.1	Acid phosphatase 2, lysosomal [Homo sapiens]	Pf00328	53	ACP2	11
NP_002865.1	UV excision repair protein RAD23 homolog B isoform 1 [Homo sapiens]	Pf00240, Pf00627, Pf09280, Pf11976, Pf13881	5887	RAD23B	9
BAF82118.1	unnamed protein product [Homo sapiens]	Pf00076, Pf13893, Pf14259	3181	HNRNPA2B1	7
AAH16765.1	PDZ and LIM domain 4 [Homo sapiens]	Pf00412, Pf00595	8572	PDLIM4	5
NP_001157281.1	WD repeat-containing protein 81 isoform 1 [Homo sapiens]	Pf00400, Pf02138	124997	WDR81	17
NP_001268.2	choline kinase alpha isoform a [Homo sapiens]	Pf01633, Pf01636	1119	CHKA	11
BAA91722.1	unnamed protein product [Homo sapiens]	Pf00795, Pf02540	55191	NADSYN1	11
EAX07023.1	ribosomal protein S8, isoform CRA_a, partial [Homo sapiens]	Pf01201	6202	RPS8	1
NP_001139806.1	NAC-alpha domain-containing protein 1 [Homo sapiens]	Pf01849	23148	NACAD	7
NP_061122.4	golgin subfamily A member 6B [Homo sapiens]	Pf10186, Pf15070	55889	GOLGA6B	15
BAD96714.1	FUS interacting protein (serine-arginine rich) 1 isoform 2 variant, partial [Homo sapiens]	Pf00076, Pf13893, Pf14259	10772	SRSF10	1
EAW55544.1	histone 1, H4e [Homo sapiens]	Pf00125, Pf02969, Pf15630	8367	HIST1H4E	6
AFM91237.1	signal transducer and activator of transcription [Homo sapiens]	Pf00017, Pf01017, Pf02864, Pf02865, Pf12188	6773	STAT2	12
XP_005271385.1	zinc finger MYM-type protein 4 isoform X1 [Homo sapiens]	Pf06467, Pf12012	9202	ZMYM4	1
EAW69578.1	WD repeat domain 18 [Homo sapiens]	Pf00400, Pf14077	57418	WDR18	19
AAD32098.1	heme-binding protein [Homo sapiens]	Pf04832	50865	HEBP1	12
EAW94790.1	secernin 2, isoform CRA_a [Homo sapiens]	Pf03577	90507	SCRN2	17
NP_055976.1	ADP-ribosylation factor-like protein 6-interacting protein 1 isoform 1 [Homo sapiens]	Pf02453	23204	ARL6IP1	16
AAH15806.1	SH3-domain kinase binding protein 1 [Homo sapiens]	Pf00018, Pf07653, Pf14604	30011	SH3KBP1	X
AAC50823.1	similar to DEAD box RNA helicases [Homo sapiens]	Pf00270, Pf00271, Pf13959	1662	DDX10	11
XP_011526576.1	calcium-binding mitochondrial carrier protein SCaMC-3 isoform X1 [Homo sapiens]	Pf00036, Pf00153, Pf13202, Pf13405, Pf13499, Pf13833	79085	SLC25A23	19
NP_001243793.1	putative tyrosine-protein phosphatase auxilin isoform 1 [Homo sapiens]	Pf00226, Pf10409	9829	DNAJC6	1
NP_001244066.1	E3 ubiquitin-protein ligase Itchy homolog isoform 1 [Homo sapiens]	Pf00168, Pf00397, Pf00632	83737	ITCH	20
2FV8_A	Chain A, The Crystal Structure Of Rhob In The Gdp-Bound State				
NP_036265.3	coatomer subunit gamma-2 isoform 1 [Homo sapiens]	Pf01602, Pf08752, Pf13646	26958	COPG2	7
NP_001099008.1	myb-binding protein 1A isoform 1 [Homo sapiens]	Pf04931, Pf05793, Pf11593, Pf12815	10514	MYBBP1A	17
EAW79755.1	activated leukocyte cell adhesion molecule, isoform CRA_a [Homo sapiens]	Pf07679, Pf08205, Pf13895, Pf13927	214	ALCAM	3
XP_005261794.1	cysteine-rich with EGF-like domain protein 2 isoform X1 [Homo sapiens]	Pf07645, Pf11938	79174	CRELD2	22
EAW79790.1	PEST proteolytic signal containing nuclear protein, isoform CRA_a [Homo sapiens]	Pf15473	57092	PCNP	3
BAC11115.1	unnamed protein product [Homo sapiens]	Pf00175, Pf00970	51706	CYB5R1	1
BAD96691.1	epithelial protein lost in neoplasm beta variant, partial [Homo sapiens]	Pf00412	51474	LIMA1	12
AAQ89432.1	mannosyltransferase, partial [Homo sapiens]	Pf00534, Pf13692	56052	ALG1	16
AAC78728.1	translation initiation factor eIF3 p44 subunit [Homo sapiens]	Pf00076, Pf12353, Pf13893, Pf14259	8666	EIF3G	19
XP_011542640.1	centrosomal protein of 170 kDa isoform X4 [Homo sapiens]	Pf00498, Pf15308	9859	CEP170	1
NP_150093.1	transcriptional activator protein Pur-beta [Homo sapiens]	Pf04845	5814	PURB	7
NP_001189476.1	SYNJ2BP-COX16 protein isoform 1 [Homo sapiens]	Pf00595, Pf13180, Pf14138	100529257	SYNJ2BP-COX16	14
XP_011509661.1	coiled-coil domain-containing protein 93 isoform X1 [Homo sapiens]	Pf09762, Pf13514	54520	CCDC93	2
XP_011512018.1	NEDD4-binding protein 2 isoform X1 [Homo sapiens]	Pf01713, Pf08590, Pf13671	55728	N4BP2	4
NP_001308427.1	septin-10 isoform 4 [Homo sapiens]	Pf00735	151011	SEPT10	2
EAW97887.1	G protein-coupled receptor kinase interactor 2, isoform CRA_b, partial [Homo sapiens]	Pf00023, Pf01412, Pf07558, Pf08518, Pf12205, Pf12796, Pf13637, Pf13857	9815	GIT2	12
EAW68477.1	proteasome (prosome, macropain) subunit, alpha type, 1, isoform CRA_b [Homo sapiens]	Pf00227, Pf10584	5682	PSMA1	11
NP_001124151.1	eukaryotic translation initiation factor 4E isoform 2 [Homo sapiens]	Pf01652	1977	EIF4E	4
AAH07955.1	Dehydrogenase E1 and transketolase domain containing 1 [Homo sapiens]	Pf00676, Pf02779	55526	DHTKD1	10
EAW71815.1	ribosomal protein S4, X-linked, isoform CRA_a [Homo sapiens]	Pf00900, Pf08071	6191	RPS4X	X
1JCQ_A	Chain A, Crystal Structure Of Human Protein Farnesyltransferase Complexed With Farnesyl Diphosphate And The Peptidomimetic Inhibitor L-739,750				
NP_073591.2	sideroflexin-1 isoform 1 [Homo sapiens]	Pf03820	94081	SFXN1	5
AAN77932.1	DEAD-box containing helicase-like protein [Homo sapiens]	Pf00270, Pf00271, Pf00437, Pf04408, Pf07717	79665	DHX40	17
4PLA_A	Chain A, Chimera protein of Phosphatidylinositol 4-kinase type 2-alpha and Lysozyme				
AAL35904.1	protein phosphatase type 2A catalytic subunit [Homo sapiens]	Pf00149	5516	PPP2CB	8
AAS45401.1	ARC/mediator transcriptional coactivator subunit [Homo sapiens]	Pf11232, Pf11235, Pf11265	81857	MED25	19
AAF09482.1	E2IG3 [Homo sapiens]	Pf01926, Pf02421, Pf08701	26354	GNL3	3
NP_060238.3	leucine-rich repeat-containing protein 40 [Homo sapiens]	Pf12799, Pf13855	55631	LRRC40	1
NP_005165.1	ATP synthase subunit gamma, mitochondrial isoform H (heart) precursor [Homo sapiens]	Pf00231	509	ATP5C1	10
NP_003127.1	signal recognition particle 54 kDa protein isoform 1 [Homo sapiens]	Pf00448, Pf01656, Pf02881, Pf02978, Pf03205, Pf09974, Pf13207, Pf13671	6729	SRP54	14
P30050	60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1	Pf00298, Pf03946	6136	RPL12	9
NP_212133.1	transmembrane protein 205 [Homo sapiens]	Pf13664	374882	TMEM205	19
EAW61633.1	La ribonucleoprotein domain family, member 1, isoform CRA_b, partial [Homo sapiens]	Pf05383	23367	LARP1	5
NP_060757.4	rho GTPase-activating protein 12 isoform 1 [Homo sapiens]	Pf00018, Pf00169, Pf00397, Pf00620, Pf14604	94134	ARHGAP12	10
NP_001146956.1	short coiled-coil protein isoform 1 [Homo sapiens]	Pf04111, Pf10211, Pf10224	60592	SCOC	4
AAC26080.1	homolog of the Aspergillus nidulans sudD gene product [Homo sapiens]	Pf01163, Pf06293	8780	RIOK3	18
BAH13933.1	unnamed protein product [Homo sapiens]	Pf07915	10956	OS9	12
BAF84975.1	unnamed protein product [Homo sapiens]	Pf00415, Pf13540	26297	SERGEF	11
BAG61164.1	unnamed protein product [Homo sapiens]	Pf00125, Pf00808	440689	HIST2H2BF	1
AAC41947.1	alpha-3 type IX collagen [Homo sapiens]		1299	COL9A3	20
AAV38639.1	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein) [Homo sapiens]	Pf00213	539	ATP5O	21
EAW92248.1	ribosomal protein L35a, isoform CRA_a [Homo sapiens]	Pf01247	6165	RPL35A	3
NP_001070867.1	probable hydrolase PNKD isoform 3 precursor [Homo sapiens]		25953	PNKD	2
AAK77961.1	coactivator activator [Homo sapiens]	Pf00076, Pf13893, Pf14259	10432	RBM14	11
NP_006308.3	brain acid soluble protein 1 [Homo sapiens]		10409	BASP1	5
NP_001034937.1	phospholipid hydroperoxide glutathione peroxidase isoform C [Homo sapiens]	Pf00255	2879	GPX4	19
XP_011527050.1	activity-dependent neuroprotector homeobox protein isoform X1 [Homo sapiens]	Pf00046, Pf12756, Pf13909	23394	ADNP	20
NP_006036.1	probable phospholipid-transporting ATPase IIA [Homo sapiens]	Pf00122, Pf00702, Pf01757, Pf13246	10079	ATP9A	20
NP_296373.1	F-box only protein 21 isoform 1 [Homo sapiens]	Pf08755, Pf12937, Pf13369	23014	FBXO21	12
BAD92119.1	chaperonin containing TCP1, subunit 3 (gamma) variant, partial [Homo sapiens]	Pf00118	7203	CCT3	1
NP_006078.2	tubulin beta-4A chain isoform 3 [Homo sapiens]	Pf00091, Pf03953, Pf10644	10382	TUBB4A	19
XP_005248298.1	NAD kinase 2, mitochondrial isoform X1 [Homo sapiens]	Pf00781, Pf01513	133686	NADK2; NADKD1	5
CAD39149.1	hypothetical protein, partial [Homo sapiens]	Pf12736	64762	FAM59A; GAREM; GAREM1	18
XP_011512974.1	serpin B6 isoform X1 [Homo sapiens]	Pf00079	5269	SERPINB6	6
